"id","component1Category","component2Category","matchKey","description"
"compat-lga1700-z790","cpu","mainboard","LGA1700_DDR5","CPU Intel Gen 12/13/14 (LGA 1700) tương thích với mainboard Z790/B760/H770/Z690/B660 DDR5"
"compat-lga1700-ddr4","cpu","mainboard","LGA1700_DDR4","CPU Intel Gen 12/13/14 (LGA 1700) tương thích với mainboard B660/H610 DDR4"
"compat-am5-x670e","cpu","mainboard","AM5_DDR5","CPU AMD Ryzen 7000/8000 (AM5) tương thích với mainboard X670E/X670/B650E/B650/A620 DDR5"
"compat-am4-b550","cpu","mainboard","AM4_DDR4","CPU AMD Ryzen 3000/5000 (AM4) tương thích với mainboard B550/X570/B450/A520 DDR4"
"compat-ddr5-board","ram","mainboard","DDR5","RAM DDR5 chỉ dùng được với mainboard DDR5. KHÔNG tương thích DDR4 ngược lại"
"compat-ddr4-board","ram","mainboard","DDR4","RAM DDR4 chỉ dùng được với mainboard DDR4. Khe cắm khác vật lý với DDR5"
"compat-ram-dual","ram","mainboard","DUAL_CHANNEL","Luôn dùng 2 thanh RAM cùng loại (dual-channel) để tăng hiệu năng 15-30%. Cắm khe A2+B2"
"compat-ddr5-am5","ram","cpu","DDR5_AM5_6000","Với CPU AMD AM5, DDR5-6000 CL30 là sweet spot tốt nhất. EXPO profile recommended"
"compat-ddr4-am4","ram","cpu","DDR4_AM4_3600","Với CPU AMD AM4, DDR4-3600 CL16 là sweet spot tối ưu (1:1 FCLK). Trên 3600 diminishing returns"
"compat-ddr5-intel","ram","cpu","DDR5_INTEL","Với CPU Intel 12/13/14, DDR5-5600~6000 cho hiệu năng tốt nhất. XMP 3.0 recommended"
"compat-4090-psu","gpu","psu","4090_PSU_850W","RTX 4090 cần PSU tối thiểu 850W (khuyến nghị 1000W). Cần cáp 16-pin 12VHPWR hoặc adapter 3x8-pin"
"compat-4080s-psu","gpu","psu","4080S_PSU_750W","RTX 4080 Super cần PSU tối thiểu 750W (khuyến nghị 850W). Cáp 16-pin 12VHPWR"
"compat-4070tis-psu","gpu","psu","4070TIS_PSU_700W","RTX 4070 Ti Super cần PSU tối thiểu 700W (khuyến nghị 750W)"
"compat-4070s-psu","gpu","psu","4070S_PSU_650W","RTX 4070 Super cần PSU tối thiểu 650W. Chỉ cần 1 cáp 8-pin hoặc 12VHPWR"
"compat-4070-psu","gpu","psu","4070_PSU_650W","RTX 4070 cần PSU tối thiểu 650W"
"compat-4060ti-psu","gpu","psu","4060TI_PSU_550W","RTX 4060 Ti cần PSU tối thiểu 550W (khuyến nghị 650W). Chỉ 1 cáp 8-pin"
"compat-4060-psu","gpu","psu","4060_PSU_550W","RTX 4060 cần PSU 550W. TDP chỉ 115W, rất hiệu năng"
"compat-7900xtx-psu","gpu","psu","7900XTX_PSU_800W","RX 7900 XTX cần PSU tối thiểu 800W (khuyến nghị 850W). Dùng 2 cáp 8-pin"
"compat-7800xt-psu","gpu","psu","7800XT_PSU_700W","RX 7800 XT cần PSU tối thiểu 700W. 2 cáp 8-pin"
"compat-7600-psu","gpu","psu","7600_PSU_550W","RX 7600 cần PSU 550W. Chỉ 1 cáp 8-pin"
"compat-atx-case","mainboard","case","ATX_CASE","Mainboard ATX cần case ATX Mid-Tower trở lên. Không vừa mATX hoặc ITX case"
"compat-matx-case","mainboard","case","MATX_CASE","Mainboard mATX vừa case ATX và mATX. Không vừa Mini-ITX case"
"compat-itx-case","mainboard","case","ITX_CASE","Mainboard Mini-ITX vừa mọi case, nhưng tối ưu cho SFF/Mini-ITX case"
"compat-gpu-length","gpu","case","GPU_LENGTH","Kiểm tra chiều dài GPU vs case clearance. RTX 4090 dài ~340mm, cần case hỗ trợ >350mm"
"compat-cooler-height","cooler","case","COOLER_HEIGHT","Kiểm tra chiều cao cooler vs case clearance. NH-D15 cao 165mm, cần case hỗ trợ >165mm"
"compat-aio-rad","cooler","case","AIO_RADIATOR","Kiểm tra hỗ trợ radiator AIO: 240/280/360mm. Lắp top hoặc front tùy case"
"compat-sfx-psu","psu","case","SFX_PSU","Case ITX/SFF thường cần PSU SFX/SFX-L. ATX PSU không vừa case nhỏ"
"compat-cooler-lga1700","cooler","cpu","COOLER_LGA1700","Cooler cần hỗ trợ LGA 1700 mounting. Kiểm tra bracket kit đi kèm hoặc mua riêng"
"compat-cooler-am5","cooler","cpu","COOLER_AM5","AM5 dùng mounting AM4 compatible. Hầu hết cooler AM4 dùng được AM5 (cần kiểm tra)"
"compat-cooler-tdp","cooler","cpu","COOLER_TDP","TDP cooler phải >= TDP CPU. i9-14900K (253W PL2) cần cooler 280mm AIO trở lên hoặc NH-D15"
"compat-ram-cooler","ram","cooler","RAM_CLEARANCE","RAM cao (heatsink RGB) có thể va cooler lớn (NH-D15). Dùng low-profile RAM hoặc cooler offset"
"compat-m2-pcie5","ssd","mainboard","M.2_PCIe5","SSD PCIe 5.0 cần mainboard có khe M.2 PCIe 5.0 (Z790/X670E). Backward compatible PCIe 4.0"
"compat-m2-pcie4","ssd","mainboard","M.2_PCIe4","SSD PCIe 4.0 dùng được trên hầu hết mainboard modern (B550+/B660+). Khe M.2 PCIe 3.0 sẽ giảm tốc"
"compat-sata-port","ssd","mainboard","SATA","SSD SATA 2.5"" cần cáp SATA + nguồn SATA. Khe M.2 SATA (nếu có) cũng dùng được"
"compat-m2-slots","ssd","mainboard","M2_SLOT_COUNT","Kiểm tra số khe M.2 trên mainboard. Budget board thường chỉ 1-2 khe, high-end 4-5 khe"
"compat-pcie5-gpu","gpu","mainboard","PCIe5","GPU hiện tại dùng PCIe 4.0 x16. PCIe 5.0 x16 cho future GPU. Backward compatible"
"compat-pcie4-gpu","gpu","mainboard","PCIe4","GPU PCIe 4.0 dùng được khe PCIe 3.0 (giảm ~1-3% hiệu năng, không đáng kể)"
"compat-z790-oc","cpu","mainboard","Z790_OC","CPU K/KF (unlocked) cần chipset Z790/Z690 để ép xung. B760/H770 KHÔNG ép xung được CPU"
"compat-x670e-features","cpu","mainboard","X670E_FULL_PCIE5","X670E có PCIe 5.0 cho cả GPU + SSD. B650/B650E chỉ PCIe 5.0 cho SSD (tùy board)"
"compat-b550-pcie","cpu","mainboard","B550_PCIE4","B550 chỉ 1 khe M.2 PCIe 4.0 (từ CPU) + 1 khe PCIe 3.0 (từ chipset)"
"compat-psu-80plus","psu","psu","80PLUS_RATING","80+ Bronze: 82-85% hiệu suất, Gold: 87-90%, Platinum: 90-94%, Titanium: 92-96%"
"compat-psu-modular","psu","case","PSU_MODULAR","Full Modular PSU dễ đi dây, cáp sạch hơn. Non-modular rẻ hơn nhưng nhiều dây thừa"
"compat-psu-atx3","psu","gpu","ATX3_12VHPWR","PSU ATX 3.0 có sẵn cáp 12VHPWR cho RTX 40 series. Non-ATX3 cần adapter 3x8-pin"
"compat-hdmi21","gpu","monitor","HDMI_2.1","HDMI 2.1 cần cho 4K 120Hz. RTX 4000 + RX 7000 đều hỗ trợ HDMI 2.1"
"compat-dp14","gpu","monitor","DP_1.4","DisplayPort 1.4 hỗ trợ 4K 120Hz, 1440p 240Hz. DSC cho 4K 240Hz"
"compat-gsync","gpu","monitor","GSYNC_FREESYNC","NVIDIA GPU + FreeSync monitor: dùng G-Sync Compatible mode. AMD GPU + FreeSync: native support"
"compat-case-airflow","case","cooler","CASE_AIRFLOW","Case mesh front panel tốt hơn kính cường lực cho airflow. Tối thiểu 2 quạt intake + 1 exhaust"
"compat-fan-config","case","cooler","FAN_CONFIG","Setup quạt lý tưởng: front intake (lọc bụi), top/rear exhaust. Positive pressure giảm bụi"
"compat-thermal-paste","cooler","cpu","THERMAL_PASTE","Hầu hết cooler đi kèm keo tản nhiệt. Nên thay bằng Thermal Grizzly Kryonaut hoặc Noctua NT-H1"
"compat-expo-xmp","ram","mainboard","EXPO_XMP","AMD EXPO cho DDR5 AM5, Intel XMP cho DDR5 Intel. Nhiều RAM hỗ trợ cả 2 profiles"
"compat-ram-4dimm","ram","mainboard","RAM_4DIMM","4 khe RAM: cắm 2 thanh ở A2+B2 (khe 2 và 4). Đa số không cần cắm đầy 4 thanh"
"compat-bottleneck-cpu-gpu","cpu","gpu","BOTTLENECK","Tránh bottleneck: i3/R3 + RTX 4080 sẽ bị CPU bottleneck. i5/R5 đủ cho đến RTX 4070 Ti Super"
"compat-bottleneck-1080p","cpu","gpu","BOTTLENECK_1080P","Ở 1080p, CPU quan trọng hơn (CPU-bound). Ở 4K, GPU quan trọng hơn (GPU-bound)"
"compat-igpu-necessity","cpu","gpu","IGPU_REQUIREMENT","CPU không có iGPU (F/KF model) BẮT BUỘC cần card đồ họa rời. Không có hình nếu không có GPU"
"compat-pcie-gen","gpu","mainboard","PCIE_BACKWARD","PCIe backward compatible: GPU PCIe 4.0 chạy trên khe PCIe 3.0, chỉ giảm 1-3% performance"